Date,Open,High,Low,Close,Volume
1/2/2020 16:00:00,214.4,216.16,213.98,216.16,31014904
1/3/2020 16:00:00,213.29,215.47,213.28,214.18,27532657
1/6/2020 16:00:00,212.49,215.59,212.24,215.56,21726989
1/7/2020 16:00:00,215.64,216.14,214.85,215.53,23120994
1/8/2020 16:00:00,215.47,218.14,215.16,217.15,26464212
1/9/2020 16:00:00,218.91,219.41,217.71,218.99,23641291
1/10/2020 16:00:00,219.76,219.87,218.04,218.43,21914631
1/13/2020 16:00:00,219.31,220.98,218.98,220.95,22846102
1/14/2020 16:00:00,220.75,221.21,219.74,220.08,24573340
1/15/2020 16:00:00,220.18,221.2,219.45,220.17,25742084
1/16/2020 16:00:00,221.24,222.32,220.8,222.28,18804959
1/17/2020 16:00:00,223.24,223.56,222.12,223.38,24325167
1/21/2020 16:00:00,222.73,223.84,222.66,223.28,21146264
1/22/2020 16:00:00,224.38,225.15,223.59,223.87,20736403
1/23/2020 16:00:00,223.71,224.69,222.7,224.59,26496113
1/24/2020 16:00:00,225.62,225.88,221.67,222.7,37436483
1/27/2020 16:00:00,217.72,219.28,217.18,218.1,42264418
1/28/2020 16:00:00,219.6,221.96,219.06,221.45,26731876
1/29/2020 16:00:00,222.66,222.93,220.83,221.81,29063128
1/30/2020 16:00:00,220.37,222.7,219.69,222.6,39568093
1/31/2020 16:00:00,223.5,223.56,218.29,219.07,52015832
2/3/2020 16:00:00,220.14,222.89,219.99,222.38,25468307
2/4/2020 16:00:00,225.39,227.86,224.65,227.47,30691211
2/5/2020 16:00:00,230.22,230.25,226.85,228.22,38534817
2/6/2020 16:00:00,228.77,230.25,227.98,230.19,22467077
2/7/2020 16:00:00,229.16,230.44,228.54,229.2,25884933
2/10/2020 16:00:00,228.43,231.98,228.38,231.97,21478925
2/11/2020 16:00:00,233.21,234.02,231.4,232.01,30197983
2/12/2020 16:00:00,233.34,234.38,232.8,234.27,24471275
2/13/2020 16:00:00,232.62,234.93,232.36,233.97,22773159
2/14/2020 16:00:00,234.28,234.86,233.55,234.64,23438530
2/18/2020 16:00:00,233.47,235.17,233.25,234.73,24521242
2/19/2020 16:00:00,236.07,237.47,235.85,236.98,22230464
2/20/2020 16:00:00,236.46,236.95,231.88,234.78,42604016
2/21/2020 16:00:00,233.64,234.01,229.32,230.27,66058611
2/24/2020 16:00:00,221.84,224.25,220.26,221.39,84522551
2/25/2020 16:00:00,223.19,223.99,214.74,215.37,97742982
2/26/2020 16:00:00,216.67,220.28,214.9,216.48,80400053
2/27/2020 16:00:00,211.05,216.42,205.5,205.64,121822562
2/28/2020 16:00:00,198.92,207.17,198.17,205.8,149247073
3/2/2020 16:00:00,208.88,216.57,205.94,216.42,112933945
3/3/2020 16:00:00,217.11,219.61,207.62,209.48,131953546
3/4/2020 16:00:00,213.32,218.33,211.37,218.22,73086209
3/5/2020 16:00:00,212.69,216.36,210.1,211.59,78705458
3/6/2020 16:00:00,204.67,209.15,202.91,208.02,89828392
3/9/2020 16:00:00,193.48,201.16,192.11,193.57,116423986
3/10/2020 16:00:00,201.11,204.3,193.68,204.11,100599233
3/11/2020 16:00:00,199.35,200.75,192.73,195.22,89168783
3/12/2020 16:00:00,182.09,190.78,176.94,177.32,137820698
3/13/2020 16:00:00,187.07,194.48,178.13,192.34,134881981
3/16/2020 16:00:00,174.15,184.68,169.16,169.3,92054386
3/17/2020 16:00:00,175.47,184.39,169.78,182.14,121257108
3/18/2020 16:00:00,171.61,179.22,166.8,176.6,114156320
3/19/2020 16:00:00,175.69,183.49,171.63,177.66,120896481
3/20/2020 16:00:00,181.74,182.87,170.1,170.7,118983891
3/23/2020 16:00:00,170.92,174.21,164.93,170.46,124639782
3/24/2020 16:00:00,179.91,183.83,177.95,183.66,94881785
3/25/2020 16:00:00,184.42,189.51,179.98,182.3,88754909
3/26/2020 16:00:00,183.87,192.72,183.61,191.9,79887564
3/27/2020 16:00:00,186.93,190.51,184.66,185.3,58844975
3/30/2020 16:00:00,187.1,192.49,186.34,192.04,49356936
3/31/2020 16:00:00,191.53,195.25,189.2,190.4,62659265
4/1/2020 16:00:00,184.81,187.66,180.86,182.31,53715375
4/2/2020 16:00:00,181.59,190.1,180.97,186.01,56465348
4/3/2020 16:00:00,185.5,187.07,181.29,183.37,47487621
4/6/2020 16:00:00,190.38,197.65,189.19,196.48,64763518
4/7/2020 16:00:00,202.14,202.66,196,196.4,69904478
4/8/2020 16:00:00,198.08,201.17,196.17,200.57,45940439
4/9/2020 16:00:00,202.27,203.22,199.03,200.86,68323929
4/13/2020 16:00:00,199.92,203.42,198.75,203.03,42853948
4/14/2020 16:00:00,207.17,212.5,206.42,211.86,63959563
4/15/2020 16:00:00,208.48,211.83,207.12,209.43,47035953
4/16/2020 16:00:00,211.78,214.37,209.69,213.25,64657362
4/17/2020 16:00:00,215.96,216.51,212.08,215.29,62863223
4/20/2020 16:00:00,213.27,215.88,212.57,212.74,38249128
4/21/2020 16:00:00,210.63,211.16,203.63,204.89,72932771
4/22/2020 16:00:00,209.14,212.35,208.33,210.97,40188772
4/23/2020 16:00:00,211.8,214.44,210.1,210.52,43278542
4/24/2020 16:00:00,210.94,214.3,209.5,213.84,34303365
4/27/2020 16:00:00,216.18,216.63,214.5,215.56,36451698
4/28/2020 16:00:00,217.27,217.32,211.21,211.5,46862816
4/29/2020 16:00:00,216.21,219.97,215.14,219,48716406
4/30/2020 16:00:00,220.01,220.04,217.35,218.91,43359476
5/1/2020 16:00:00,214.54,216.67,211.68,212.74,48794968
5/4/2020 16:00:00,211.61,215.45,211.12,215.22,32841020
5/5/2020 16:00:00,217.4,220.14,216.85,217.66,37783075
